Gene.Name	Gene.ID
AT1G22930	AT1G22930
AT1G22960	AT1G22960
AT1G22960	AT1G22960
AT1G23000	AT1G23000
FRO3	AT1G23020
AT1G23050	AT1G23050
AT1G23050	AT1G23050
NA	NA
SULTR3	AT1G23090
AT1G23110	AT1G23110
AT1G23170	AT1G23170
AT1G23190	AT1G23190
AT1G23220	AT1G23220
AT1G23280	AT1G23280
RPL27AB	AT1G23290
GGAT1	AT1G23310
AT1G23330	AT1G23330
AT1G05813	AT1G05813
AT1G23440	AT1G23440
ARF2-A	AT1G23490
SRO2	AT1G23550
AT1G23710	AT1G23710
AT1G23750	AT1G23750
AT1G23830	AT1G23830
RSZ21	AT1G23860
TPS9	AT1G23870
GAMMA-ADR	AT1G23900
AT1G05843	AT1G05843
AT1G24050	AT1G24050
CSLA10	AT1G24070
UGT74B1	AT1G24100
AT1G24150	AT1G24150
AT1G24160	AT1G24160
AT1G05863	AT1G05863
AT1G24267	AT1G24267
AT1G24340	AT1G24340
AT1G24360	AT1G24360
AT1G24460	AT1G24460
CCT5	AT1G24510
NA	NA
AT1G24580	AT1G24580
AT1G24575	AT1G24575
AT1G24600	AT1G24600
ZFP7	AT1G24625
THO2	AT1G24706
AT1G05913	AT1G05913
ASB1	AT1G25220
AT1G05947	AT1G05947
AT1G25275	AT1G25275
TULP10	AT1G25280
PCMP-H74	AT1G25360
AT1G25375	AT1G25375
NDT2	AT1G25380
LRK10L-1.1	AT1G25390
LRK10L-1.1	AT1G25390
COL16	AT1G25440
AT1G25520	AT1G25520
MED25	AT1G25540
AT1G25570	AT1G25570
AT1G25682	AT1G25682
AT1G26090	AT1G26090
DCP5	AT1G26110
AT1G26160	AT1G26160
PI4KG5	AT1G26270
AT1G26300	AT1G26300
SP1L1	AT1G26355
RID1	AT1G26370
AT1G26460	AT1G26460
AT1G26620	AT1G26620
ELF5A-2	AT1G26630
AT1G26640	AT1G26640
VTI12	AT1G26670
AT1G26690	AT1G26690
AT1G06013	AT1G06013
AT1G26761	AT1G26761
AT1G26773	AT1G26773
AT1G26790	AT1G26790
AT1G26800	AT1G26800
NA	NA
PCMP-E54	AT1G26900
RPL10B	AT1G26910
AT1G26930	AT1G26930
AT1G27000	AT1G27000
AT1G27050	AT1G27050
AT1G27090	AT1G27090
GALT4	AT1G27120
AT1G27150	AT1G27150
AT1G27170	AT1G27170
AT1G27180	AT1G27180
NA	NA
AT1G27200	AT1G27200
AT1G27200	AT1G27200
AT1G06057	AT1G06057
AT1G27290	AT1G27290
AT1G27300	AT1G27300
AT1G27330	AT1G27330
AT1G27350	AT1G27350
AT1G27410	AT1G27410
IRX10	AT1G27440
AT1G27470	AT1G27470
LCAT1	AT1G27480
MNS5	AT1G27520
IRX9H	AT1G27600
AT1G27640	AT1G27640
AT1G27670	AT1G27670
ZAT10	AT1G27730
AT1G27750	AT1G27750
AT1G27752	AT1G27752
AT1G27760	AT1G27760
ACA1	AT1G27770
AT1G27840	AT1G27840
AT1G27921	AT1G27921
ABCB13	AT1G27940
AT1G27960	AT1G27960
ABCB14	AT1G28010
AT1G28060	AT1G28060
AT1G28070	AT1G28070
AT1G28120	AT1G28120
NA	NA
AT1G28140	AT1G28140
AT1G28190	AT1G28190
AT1G28250	AT1G28250
SMG7L	AT1G28260
LCR31	AT1G28335
ERF12	AT1G28360
ERF11	AT1G28370
AT1G06153	AT1G06153
AT1G28390	AT1G28390
RLT1	AT1G28420
AT1G28450	AT1G28450
SYP61	AT1G28490
AT1G28530	AT1G28530
AT1G28540	AT1G28540
SRD2	AT1G28560
AT1G28580	AT1G28580
AT1G28680	AT1G28680
AT1G28715	AT1G28715
AT1G28760	AT1G28760
NUDT15	AT1G28960
AT1G29060	AT1G29060
RPL34	AT1G29070
CIPK18	AT1G29230
AT1G29250	AT1G29250
PEX7	AT1G29260
WRKY65	AT1G29280
ERD2A	AT1G29330
PUB17	AT1G29340
COR413IM2	AT1G29390
COR413IM1	AT1G29395
NA	NA
NA	NA
SEI2	AT1G29760
AT1G29800	AT1G29800
NA	NA
AT1G29880	AT1G29880
AT1G29890	AT1G29890
LHCB1.2	AT1G29910
LHCB1.2	AT1G29920
LHCB1.3	AT1G29930
AT1G06303	AT1G06303
AT1G06297	AT1G06297
AT1G30020	AT1G30020
GA2OX2	AT1G30040
NUDT25	AT1G30110
PDH-E1 BETA	AT1G30120
AT1G30190	AT1G30190
AT1G30240	AT1G30240
AT1G30290	AT1G30290
AT1G30300	AT1G30300
AT1G30320	AT1G30320
ARF6	AT1G30330
ARF6	AT1G30330
ERD4	AT1G30360
ERD4	AT1G30360
PSAK	AT1G30380
AT1G30440	AT1G30440
NFYA7	AT1G30500
AT1G30515	AT1G30515
AT1G30570	AT1G30570
EMB2279	AT1G30610
MUR4	AT1G30620
AT1G30630	AT1G30630
AT1G30660	AT1G30660
AT1G30680	AT1G30680
PATL4	AT1G30690
AT1G30710	AT1G30710
AT1G30720	AT1G30720
AT1G30757	AT1G30757
JMJ18	AT1G30810
AT1G30820	AT1G30820
ARPC2A	AT1G30825
AT1G30830	AT1G30830
AT1G30845	AT1G30845
NA	NA
NA	NA
OSB4	AT1G31010
AT1G31020	AT1G31020
NA	NA
NA	NA
GLCNAC1PUT1	AT1G31070
AT1G31150	AT1G31150
AT1G31160	AT1G31160
SRX	AT1G31170
AKHSDH1	AT1G31230
AT1G06433	AT1G06433
AT1G31310	AT1G31310
PSAF	AT1G31330
SGR2	AT1G31480
AT1G31660	AT1G31660
NA	NA
CYP97A3	AT1G31800
ACBP6	AT1G31812
BRX	AT1G31880
PMK	AT1G31910
PCMP-H11	AT1G31920
XLG3	AT1G31930
AT1G06473	AT1G06473
AT1G31960	AT1G31960
AT1G32060	AT1G32060
NSI	AT1G32070
PLGG1	AT1G32080
PRR1	AT1G32100
AT1G32130	AT1G32130
AT1G06533	AT1G06533
AT1G06533	AT1G06533
DAD1	AT1G32210
AT1G32220	AT1G32220
NA	NA
NA	NA
AT1G32260	AT1G32260
AT1G32280	AT1G32280
MKK10	AT1G32320
HSFA1D	AT1G32330
AT1G32340	AT1G32340
PRS2	AT1G32380
TOM2A	AT1G32400
AT1G32410	AT1G32410
PKP3	AT1G32440
NA	NA
ESP3	AT1G32490
MIP1	AT1G32530
AT1G32550	AT1G32550
AT1G32560	AT1G32560
AT1G32620	AT1G32620
AT1G32660	AT1G32660
AT1G06603	AT1G06603
AT1G32690	AT1G32690
AT1G32710	AT1G32710
AT1G32710	AT1G32710
AT1G32730	AT1G32730
NA	NA
TAF1	AT1G32750
AT1G32810	AT1G32810
NAC13	AT1G32870
GBSS1	AT1G32900
AT1G33030	AT1G33030
AT1G33040	AT1G33040
NAC014	AT1G33060
DTX21	AT1G33110
AT1G33240	AT1G33240
FAX4	AT1G33265
AT1G33330	AT1G33330
PCMP-E57	AT1G33350
FAS4	AT1G33390
AT1G33410	AT1G33410
NA	NA
AT1G33530	AT1G33530
SCPL18	AT1G33540
AT1G33590	AT1G33590
AT1G33600	AT1G33600
AT1G06677	AT1G06677
AT1G33607	AT1G33607
NA	NA
AT1G33710	AT1G33710
AT1G06707	AT1G06707
AT1G33770	AT1G33770
AT1G33810	AT1G33810
AT1G33970	AT1G33970
AT1G34000	AT1G34000
RPS18A	AT1G34030
AT1G34095	AT1G34095
EPF2	AT1G34245
NA	NA
STOP1	AT1G34370
AT1G34420	AT1G34420
AT1G34570	AT1G34570
STP5	AT1G34580
AT1G34630	AT1G34630
AT1G34750	AT1G34750
AT1G34750	AT1G34750
GRF4	AT1G35160
AT1G35210	AT1G35210
AGP5	AT1G35230
AT1G06857	AT1G06857
AT1G35340	AT1G35340
NA	NA
NA	NA
