Gene.Name	Gene.ID
AT1G11970	AT1G11970
AT1G71000	AT1G71000
ARPC2A	AT1G30825
BBD1	AT1G75380
AT1G32060	AT1G32060
RPL34	AT1G29070
NA	NA
TPS7	AT1G06410
NA	NA
AT1G08523	AT1G08523
AT1G01240	AT1G01240
AT1G04507	AT1G04507
AT1G70350	AT1G70350
NHX6	AT1G79610
CAO	AT1G44446
RTNLB3	AT1G64090
AN	AT1G01510
HAB2	AT1G17550
AT1G53790	AT1G53790
AT1G53800	AT1G53800
AT1G56220	AT1G56220
AT1G30515	AT1G30515
YDA	AT1G63700
PDIL2-2	AT1G04980
AT1G64460	AT1G64460
AT1G07150	AT1G07150
PUB19	AT1G60190
p_MI0005107	AT1G70645
AT1G17360	AT1G17360
GRF10	AT1G22300
AT1G32550	AT1G32550
AT1G32560	AT1G32560
AT1G08057	AT1G08057
AT1G70720	AT1G70720
AT1G49832	AT1G49832
NA	NA
AT1G49450	AT1G49450
LOX6	AT1G67560
PUMP3	AT1G14140
PNSL2	AT1G14150
UGT85A2	AT1G22360
AT1G04990	AT1G04990
AT1G20890	AT1G20890
AT1G24150	AT1G24150
MKK9	AT1G73500
AT1G76020	AT1G76020
VHA-B1	AT1G76030
BHLH13	AT1G01260
NA	NA
AT1G03290	AT1G03290
UKL3	AT1G55810
AT1G75590	AT1G75590
AT1G05193	AT1G05193
AT1G15740	AT1G15740
AT1G07873	AT1G07873
SAR1B	AT1G56330
AT1G05350	AT1G05350
AT1G30680	AT1G30680
AT1G09950	AT1G09950
MFT	AT1G18100
GAPCP1	AT1G79530
AT1G05473	AT1G05473
RPL27AC	AT1G70600
ABCB26	AT1G70610
AVP1	AT1G15690
UTR4	AT1G12600
AT1G79760	AT1G79760
AT1G11390	AT1G11390
AT1G11400	AT1G11400
AT1G13470	AT1G13470
RSZ21	AT1G23860
CPEFG	AT1G62750
LHCA5	AT1G45474
AT1G24360	AT1G24360
FPP2	AT1G21810
AIP1	AT1G07430
AT1G09380	AT1G09380
AT1G28140	AT1G28140
STR1	AT1G79230
AT1G53400	AT1G53400
AT1G24340	AT1G24340
AT1G25520	AT1G25520
PSBR	AT1G79040
GLPK	AT1G80460
ERD4	AT1G30360
MSRB1	AT1G53670
AT1G08993	AT1G08993
ADH1	AT1G77120
AT1G30320	AT1G30320
AT1G72490	AT1G72490
AT1G15680	AT1G15680
AT1G33240	AT1G33240
NA	NA
AT1G55340	AT1G55340
PDH-E1 BETA	AT1G30120
AT1G08653	AT1G08653
GA2OX6	AT1G02400
NA	NA
AT1G62305	AT1G62305
AT1G78850	AT1G78850
AT1G65985	AT1G65985
GGH3	AT1G78670
AT1G50450	AT1G50450
CB5LP	AT1G60660
TPL	AT1G15750
AT1G15175	AT1G15175
EMB2279	AT1G30610
ASK18	AT1G10230
AT1G59680	AT1G59680
NA	NA
AT1G14340	AT1G14340
AT1G16790	AT1G16790
PIN3	AT1G70940
STR2	AT1G16460
PAB1	AT1G16470
AT1G05870	AT1G05870
AT1G09633	AT1G09633
SULTR3	AT1G23090
HMGA	AT1G14900
AGO1	AT1G48410
TBP2	AT1G55520
AT1G71030	AT1G71030
MDH1	AT1G04410
AT1G04420	AT1G04420
AT1G75090	AT1G75090
AT1G32410	AT1G32410
AT1G05000	AT1G05000
AT1G65830	AT1G65830
NA	NA
AT1G12390	AT1G12390
NA	NA
MBD10	AT1G15340
TYW1	AT1G75200
AT1G75210	AT1G75210
ERF8	AT1G53170
AT1G62780	AT1G62780
AT1G70590	AT1G70590
AT1G73120	AT1G73120
FD2	AT1G60950
AT1G79790	AT1G79790
AT1G07773	AT1G07773
AT1G78250	AT1G78250
CBSCBS2	AT1G69800
ACR8	AT1G12420
AT1G77500	AT1G77500
PUP14	AT1G19770
AT1G21770	AT1G21770
WIN1	AT1G80600
AT1G17940	AT1G17940
AT1G77450	AT1G77450
GPAT4	AT1G01610
AT1G70100	AT1G70100
NA	NA
AT1G09497	AT1G09497
AT1G77765	AT1G77765
AT1G76570	AT1G76570
DRT112	AT1G20340
TIM17-1	AT1G20350
AT1G04500	AT1G04500
AT1G64850	AT1G64850
SIGA	AT1G64860
AT1G07901	AT1G07901
AT1G54740	AT1G54740
PUB56	AT1G01670
AT1G52860	AT1G52860
AT1G09773	AT1G09773
IMPA6	AT1G02690
AT1G32190	AT1G32190
ALIS4	AT1G16360
AT1G18900	AT1G18900
RABA6B	AT1G18200
ARF2-A	AT1G23490
STOP1	AT1G34370
